physicalelement_luid,nodeid,snapshotid,creationclassname,tag,caption,description,name,installdatetime,status,manufacturedate,manufacturer,otheridentifyinginfo,partnumber,poweredon,serialnumber,sku,version,slot_number,dc_location,dc_condition,dc_firmwarerevision,dc_hwlocation,dc_productid,model
2211908167794,996,-1,CIM_PhysicalElement,Server Blade 48,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,16,OSDC-MC1-F5-1,,,,,
2211908164723,1287,-1,CIM_PhysicalElement,Server Blade 11,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,11,SC9-CPP-PROD,,,,,
2211908167759,996,-1,CIM_PhysicalElement,Server Blade 14,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,14,OSDC-MC1-F5-1,,,,,
2211908164724,1287,-1,CIM_PhysicalElement,Server Blade 12,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,12,SC9-CPP-PROD,,,,,
2211908167764,996,-1,CIM_PhysicalElement,Server Blade 18,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,2,OSDC-MC1-F5-1,,,,,
2211908164732,1287,-1,CIM_PhysicalElement,Server Blade 20,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,4,SC9-CPP-PROD,,,,,
2211908167766,996,-1,CIM_PhysicalElement,Server Blade 20,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,4,OSDC-MC1-F5-1,,,,,
2211908167785,996,-1,CIM_PhysicalElement,Server Blade 39,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,7,OSDC-MC1-F5-1,,,,,
2211908164745,1287,-1,CIM_PhysicalElement,Server Blade 32,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,16,SC9-CPP-PROD,,,,,
2211908161141,1403,-1,CIM_PhysicalElement,Rack Net Connector 7,0,,"",,,,,7,Unknown,,Unknown,"",,,sc9-l07-1,,"",,,HP Unknown
2211908167763,996,-1,CIM_PhysicalElement,Server Blade 17,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,1,OSDC-MC1-F5-1,,,,,
2211908167773,996,-1,CIM_PhysicalElement,Server Blade 27,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,11,OSDC-MC1-F5-1,,,,,
2211908164727,1287,-1,CIM_PhysicalElement,Server Blade 15,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,15,SC9-CPP-PROD,,,,,
2211908164733,1287,-1,CIM_PhysicalElement,Server Blade 21,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,5,SC9-CPP-PROD,,,,,
2211908164739,1287,-1,CIM_PhysicalElement,Server Blade 27,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,11,SC9-CPP-PROD,,,,,
2211908164747,1288,-1,CIM_PhysicalElement,Drive Array Drive 2.0,,,,,,,,,,,3NM3AGHP00009810L4NC,,,2,1,,HPD7,,,HP      DG146ABAB4
2211908164734,1287,-1,CIM_PhysicalElement,Server Blade 22,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,6,SC9-CPP-PROD,,,,,
2211908167765,996,-1,CIM_PhysicalElement,Server Blade 19,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,3,OSDC-MC1-F5-1,,,,,
2211908164746,1287,-1,CIM_PhysicalElement,Server Blade 33,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,1,SC9-CPP-PROD,,,,,
2211908161117,1403,-1,CIM_PhysicalElement,Rack Power Supply 3,,,,,,,,,412138-B21,,5A22B0EHLVC0J2,411099-001,,3,sc9-l07-1,,"",,,
2211908164749,1288,-1,CIM_PhysicalElement,Drive Array Drive 2.1,,,,,,,,,,,3NM3AREQ00009810KUTL,,,2,2,,HPD7,,,HP      DG146ABAB4
2211908167787,996,-1,CIM_PhysicalElement,Server Blade 41,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,OSDC-MC1-F5-1,,,,,
2211908161119,1403,-1,CIM_PhysicalElement,Rack Power Supply 4,,,,,,,,,412138-B21,,5A22B0DHLU53O5,411099-001,,4,sc9-l07-1,,"",,,
2211908161121,1403,-1,CIM_PhysicalElement,Rack Power Supply 5,,,,,,,,,412138-B21,,5A22B0DHLU50GK,411099-001,,5,sc9-l07-1,,"",,,
2211908164756,1287,-1,CIM_PhysicalElement,Server Blade 41,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,SC9-CPP-PROD,,,,,
2211908167769,996,-1,CIM_PhysicalElement,Server Blade 23,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,7,OSDC-MC1-F5-1,,,,,
2211908164737,1287,-1,CIM_PhysicalElement,Server Blade 25,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,SC9-CPP-PROD,,,,,
2211908164738,1287,-1,CIM_PhysicalElement,Server Blade 26,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,SC9-CPP-PROD,,,,,
