devicekey,devicename,description,ipaddress,macaddress,inputerrors,outputerrors,speed,ipv6address,duplex,fullduplex,interfacename,subnetmask,broadcastaddress,interfacestate,dhcpenabled,iplongvalue,snapshotid,operationalstatus,protocoltype,maxdatasize,porttype,manufacturer
994,osdc-mc1-f5-oa1a,elinkbr,169.254.1.120,00:1B:78:E4:4A:BF,0,0,10000000,,"",, ,255.255.0.0,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,eth2,,00:1B:78:E4:F9:FC,0,0,10000000,,"",, ,,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,eth0,169.254.0.1,00:1C:C4:14:C8:8E,0,0,100000000,,"",, ,255.255.255.0,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,eth1,10.16.25.17,00:1C:C4:14:C8:8F,1,0,100000000,,"",, ,255.255.254.0,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,udogbr,,00:1C:C4:14:C8:8F,0,0,10000000,,"",, ,,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,teql0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,ip6tnl0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,eth3,,00:1B:78:E4:4A:BF,0,0,10000000,,"",, ,,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,elinkbr,169.254.1.120,00:1B:78:E4:4A:BF,0,0,10000000,,"",, ,255.255.0.0,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,eth2,,00:1B:78:E4:F9:FC,0,0,10000000,,"",, ,,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,eth0,169.254.0.1,00:1C:C4:14:C8:8E,0,0,100000000,,"",, ,255.255.255.0,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,udogbr,,00:1C:C4:14:C8:8F,0,0,10000000,,"",, ,,,,,,-1,,,,,
996,osdc-mc1-f5-oa1b,eth1,10.16.25.17,00:1C:C4:14:C8:8F,1,0,100000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1060,parootdc06-ilo,HP Network Team #1,10.16.45.209,00:1E:0B:1F:04:52,0,0,2000000000,,"",, ,255.255.255.0,,,,,-1,,,,,
