devicekey,name,guid,discovered,productsubtype,overallstatus,producttype,producttypestr,productname,timestamp,lockflags,fulldnsname,mxguid,discoveredname,durablename,wwname,subtype2,subtype3,subtype4,subtype5,subtype6,subtype7,subtype8,nodeluid,uniqueidentifier
308,USE852JLCA,443527USE852JLCA,1303328460230,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879755984,0,"",00000050569801850000000300000134,USE852JLCA,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902196,35333434-3732-5355-4538-35324A4C4341
316,wdc-loadtest-vmg1-9-ilo,ILO443527USE850JB25,1303328461550,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879783651,0,wdc-loadtest-vmg1-9-ilo.vmware.com,0000005056980185000000030000013c,wdc-loadtest-vmg1-9-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902204,ILO443527USE850JB25
274,USE923MM90,491338USE923MM90,1303328454448,HPProLiant,1,1,Server,ProLiant BL685c G6,1331879708596,0,"",00000050569801850000000300000112,USE923MM90,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902162,33313934-3833-5355-4539-32334D4D3930
260,10.128.202.55,ILO443527USE850JB1F,1303328453385,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879717783,0,"",00000050569801850000000300000104,10.128.202.55,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902148,ILO443527USE850JB1F
287,ora-lt-ebs-r1-ilo,ILO......L301MK1260,1303328457983,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879743681,0,ora-lt-ebs-r1-ilo.vmware.com,0000005056980185000000030000011f,ora-lt-ebs-r1-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902175,ILO......L301MK1260
283,USE809964H,447707USE809964H,1303328455008,HPProLiant,1,1,Server,ProLiant BL460c G1,1331879747849,0,"",0000005056980185000000030000011b,USE809964H,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902171,37373434-3730-5355-4538-303939363448
305,USE852JLCE,443527USE852JLCE,1303328460037,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879752236,0,"",00000050569801850000000300000131,USE852JLCE,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902193,35333434-3732-5355-4538-35324A4C4345
290,10.128.202.51,ILO443527USE852JLC2,1303328458366,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879752891,0,"",00000050569801850000000300000122,10.128.202.51,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902178,ILO443527USE852JLC2
258,ora-lt-ebs-ccm-2-ilo,ILO443527USE852JLC7,1303328453228,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879715423,0,ora-lt-ebs-ccm-2-ilo.vmware.com,00000050569801850000000300000102,ora-lt-ebs-ccm-2-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902146,ILO443527USE852JLC7
332,USE850JB25,443527USE850JB25,1303328463557,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879783682,0,"",0000005056980185000000030000014c,USE850JB25,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902220,35333434-3732-5355-4538-35304A423235
368,USE74576K9,403435USE74576K9,1303328483021,HPProLiant,1,1,Server,ProLiant BL465c G1,1331879833493,0,"",00000050569801850000000300000170,USE74576K9,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902256,34333034-3533-5355-4537-343537364B39
354,communities-qai-app-1-ilo,ILO403435USE74576KB,1303328480616,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879835910,0,communities-qai-app-1-ilo.vmware.com,00000050569801850000000300000162,communities-qai-app-1-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902242,ILO403435USE74576KB
390,USE013YWP7,491338USE013YWP7,1303328495243,HPProLiant,1,1,Server,ProLiant BL685c G6,1331879877375,0,"",00000050569801850000000300000186,USE013YWP7,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902278,33313934-3833-5355-4530-313359575037
278,USE850JB21,443527USE850JB21,1303328454697,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879722854,0,"",00000050569801850000000300000116,USE850JB21,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902166,35333434-3732-5355-4538-35304A423231
