vcserver,vmname,version,toolstatus,toolsversion,toolsrunningstatus
"vf-vcd-vc-01.vmware.com","qa-itbm-app (03c5be75-15e5-48c0-aaae-a142190a321c)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","ora-db-1 (9d871e9a-bc14-44d8-a0ab-9865db707b37)","v7","toolsNotRunning","8295","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","qa-itbm-db (56322bc3-f1ff-4d11-960b-fc01ff3088b7)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1199755391-dev-casemgmt","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1124266194-s2-test-gsscm-1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2098740760-obiemktappvm","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1534747537-s2-lt-gsscm-1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0982322424-s2-dev-gsscm-1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0342083778-ora-mkt-db2","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0021229252-_icew-src-qa-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2081343988-inf-fbi-qa-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1725680905-s2-test-icewm-2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1572867975-icew-tgt-tst-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","comm-dev-app2 (38b727ad-051f-49cf-8448-78bf254e9035)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","comm-dev-app1 (c74aceda-3355-4337-9bb8-f14f9194be52)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1369966654-icew-tgt-dev-d1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","jabber-dev-db1 (200a9cdf-750e-4e69-a582-b9fc686cb01d)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","dev-itbm-db (db0996d1-1637-4764-b0a8-322721e7f9f9)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0261796327-obie-mkt-dev2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1620781126-s2-dev-gsscm-1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2063876190-ora-sls-uat-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1563830213-ora-sls-qa2-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0013924913-dev-cp-db","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0032468452-ora-fbi-uat3-d1","v8","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2051300975-OEL5.5-template","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","qa-itbm-app (4774b0c8-bcc1-4c61-b6ab-bd7c5efb6b8c)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","gfr-adp1-cache_1_ (5b1ff4b1-e0ca-4b2d-ba6a-3733ce4bd509)","v7","toolsNotRunning","8295","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","s2-apd1-lrp_1_ (f1077e1f-5018-4011-8a49-a1681adf85df)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","LOAD_BALANCER (88065654-13b4-404c-96a4-744b98f0d07f)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0890727012-ora-sls-dev2-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1293709643-ora-bu-dev-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","qa-itbm-db (0285fcc6-e24d-4e8b-9e86-1b2da5dedaeb)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1009097866-mysql-base-3","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1904559184-windows2k3-eval","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0250924788-ora-fbi-uat-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","CentOS-5.7-64-tpl (0d46b0b3-01e1-4193-b643-53d6c5542342)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","comm-dev-act1 (ebc752ac-cfbb-4457-938a-01ecc9772268)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0010159890-inf-fbi-dev-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","Horizon-mmp-569058 (8a6305c8-758b-4020-9aa4-70267bd43aba)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1528111511-ora-fbi-uat2-d1","v8","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0810452563-dev-itbm-db","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","qa-itbm-db (81afb17f-0e94-403c-9b2f-4bd890bc79f0)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","rhel-5 (3ef681ae-6079-4a84-b9e1-2a3139690388)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","qa-itbm-app (3e47f0d8-af7d-4633-994a-8d2e3a21ed5c)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","web-lt-sso-1 (2572e33f-719d-4102-8d9e-a5948255ebab)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","template-2-app (188b5849-ef53-460e-8b42-a8131961798c)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","ora-apd1-lrp-d1 (60e4620f-00ba-464e-bf88-62244e466b73)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","gfr-adp1-cache_0_ (96878af9-62d2-4f1d-a13d-06fe0c9a2865)","v7","toolsNotRunning","8295","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0423983382-bi-sls-dev2-a1","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0418510287-s2-dev-icewm-2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1436673870-icew-tgt-qa-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1285357980-ora-fbi-uat1-d1","v8","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0982191474-icew-src-tst-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","comm-dev-cch1 (2e8e7d8c-fc8a-49ab-ba4d-55831600b694)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","s2-dbg-icewm-2 (af1fb139-9a2a-4c50-9a38-34c0dec65425)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","s2-dbg-icewm-1 (9a7f4971-d5dc-4466-8b25-dbb3a2a773ea)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","hmmp-dev-srvr-2 (d9586344-d9fe-4c10-b8fb-b5f6b577bd87)","v7","toolsOk","2147483647","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","jabber-dev-app1 (83748636-bfba-4b13-acbb-0a63309d645a)","v7","toolsOk","8384","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","Ubuntu-1004-32-tpl","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","Ubuntu-1004-64-tpl","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0182213909-inf-fbi-lt-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1722862387-s2-lt-gsscm-1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0743749609-gss-lt-mysql-1","v7","toolsNotRunning","","guestToolsNotRunning"
