display_client_name,agent_version
"osdc-itdevr2d2.vmware.com","3.7.1-100"
"ora-qa-fbi-d1.vmware.com","4.1.100-1470"
"ora-edwprod-d1.vmware.com","4.1.100-1470"
"ora-dev2-fmidm-d1.vmware.com","4.1.100-1470"
"parootdc05.vmware.com","5.0.106-28"
"wwwa-dev-sso-1.vmware.com","3.7.1-100"
"pa-dhcp01.vmware.com","4.0.3-24"
"dr-uatwebsvc2.vmware.com","5.0.106-28"
"john-dev-web","4.0.3-24"
"pkrekos-e4300.vmware.com","4.1.101-340"
"rocky.vmware.com","5.0.105-169"
"ora-dev3-osb-a1.vmware.com","5.0.106-28"
"pa-itdev5.vmware.com","3.7.1-100"
"pa-dev1-icdb.vmware.com","4.0.3-24"
"sblwebstage1.vmware.com","4.0.3-24"
"pa-itdevob1.vmware.com","3.7.1-100"
"ora-prod-iwov-d1.vmware.com","5.0.106-28"
"qa-alpine1.vmware.com","3.7.1-100"
"pa-adc3.vmware.com","4.1.101-340"
"telecom-dhcp-1.vmware.com","4.1.101-340"
"pa-psynch1.vmware.com","5.0.106-28"
"ora-test2-fmwsoa-a1.vmware.com","5.0.106-28"
"ora-test2-osb-a2.vmware.com","5.0.106-28"
"exrecserv.recovery.com","4.1.101-340"
"webmysql-prd-1.vmware.com","4.0.3-24"
"ora-stage-osb-a1.vmware.com","4.1.101-340"
"pa-burlterm01.vmware.com","4.1.101-340"
"dr-perfwebsvc1.vmware.com","4.1.101-340"
"portal-vmwperf-betan-1.vmware.com","4.1.101-340"
"telecom-dhcp-2.vmware.com","4.1.101-340"
"epo-db-1.vmware.com","4.0.3-24"
"pa-backup3.vmware.com","4.1.101-340"
"pi-otrs.vmware.com","3.7.1-100"
"sblcctstage1.vmware.com","4.0.3-24"
"ora-ucmprod-d1.vmware.com","4.1.100-1470"
"ora-phnx-1.vmware.com","4.0.3-24"
"pa-ace02.vmware.com","4.1.101-340"
"interwoven-dev-teamsite-1.vmware.com","4.1.101-340"
"dc-knova-kss3.vmware.com","4.0.3-24"
"vmweb-apache-ha-11.vmware.com2011.03.07.13.39.48","3.7.1-100"
"osoft-webapp1.vmware.com","4.0.3-24"
"ora-dev-fmwsoax-d1.vmware.com","6.0.100-592"
"ora-dmprod-d1.vmware.com","4.0.3-24"
"vmportal3-ave.vmware.com","4.0.3-24"
"pd-otrs.vmware.com2011.02.07.08.30.54","4.0.3-24"
"vmportaldbdev2.vmware.com","4.0.3-24"
"cepct.vmware.com2011.03.07.13.41.23","4.0.3-24"
"sblesvprod1.vmware.com","4.0.3-24"
"sblappdev.vmware.com","4.0.3-24"
"sblcctstage3.vmware.com","4.0.3-24"
"dc-knova-kss2.vmware.com","3.7.1-100"
"ora-prod-pridm-d2.vmware.com","4.1.100-1470"
"edi-db.vmware.com","3.7.1-100"
"sblgwstage1.vmware.com","4.0.3-24"
"ora-prod-dnb-d1.vmware.com2011.02.09.09.12.06","4.1.100-1470"
"ora-perf-ebs-d1.vmware.com","4.1.101-340"
"ora-prod-strm-fmsoa-w1.vmware.com","4.1.100-1470"
"wwwa-qa-mysql-1.vmware.com","3.7.1-100"
"vf-mgmt-vc.vmware.com","5.0.106-28"
"ora-edwqa-d1.vmware.com","4.1.101-340"
"vmweb-prod-auth-1.vmware.com","4.1.101-340"
"pa-prod-ic2.vmware.com","4.0.3-24"
"pubeval-qawlc1.vmware.com","3.7.1-100"
"vmportaldbdev3.vmware.com","4.0.3-24"
"store-stg2wlc3.vmware.com","3.7.1-100"
"ora-stage-fmsoa-a5.vmware.com","5.0.106-28"
"conscripts.vmware.com","4.0.3-24"
"strm-dev-ora-db-1.vmware.com","4.1.100-1470"
"ora-dev-vmwsup-app-1.vmware.com","4.0.3-24"
"mylearnweb-ci01","4.1.101-340"
"sblcctprod3.vmware.com","4.0.3-24"
"stageucma2","5.0.106-28"
"gss-proxy-1.vmware.com","3.7.1-100"
"sblwebdev.vmware.com","4.0.3-24"
"pa-vmportal3db2.vmware.com","4.1.101-340"
"ora-sls-prd-d1.vmware.com","5.0.106-28"
"ora-dev-osb-a1.vmware.com","5.0.106-28"
"stageucma4","5.0.106-28"
"ora-lt-fmsoa-a5.vmware.com","5.0.106-28"
"communities-stage-app-1.vmware.com","4.1.101-340"
"cware-app2-prod.vmware.com2011.02.14.12.53.55","4.0.3-24"
"store-testdb.vmware.com","3.7.1-100"
"fbi-prod-app-3.vmware.com2011.02.11.19.26.20","4.1.101-340"
"pa-ipass02","4.1.101-340"
"sbldmzprod2","4.0.3-24"
"ora-stage-siebel-rep-d1.vmware.com","4.0.3-24"
"ittools-mysql-1.vmware.com","3.7.1-100"
"sblcctprod2.vmware.com","4.0.3-24"
"sanhealth-01.vmware.com","4.1.101-340"
"pa-zenoss-hub-1.vmware.com","4.1.101-340"
"ora-dev1-fmwsoa-a1.vmware.com","5.0.106-28"
"ora-dev2-fmsoa-a2.vmware.com","5.0.106-28"
"ora-bu-prd-d1.vmware.com","5.0.106-28"
"strm-tst-db-1.vmware.com","3.7.1-100"
"jabber-prod-db-1.vmware.com2011.02.04.09.50.00","5.0.105-169"
"ora-fmprodsoa-w1.vmware.com","4.0.3-24"
"jivestagedb.vmware.com","3.7.1-100"
"vmportal3-web3.vmware.com2011.02.22.14.23.56","4.0.3-24"
"sblwebprod1.vmware.com","4.0.3-24"
"maildir.vmware.com","5.0.105-169"
"vf-vcd-vc-01.vmware.com","5.0.106-28"
"knova-stg-kb2.vmware.com","3.7.1-100"
"opsmgmt-sql1.vmware.com","4.0.3-24"
"pa-gssdsi.vmware.com","4.1.101-340"
"esvcwebprod2","4.1.101-340"
"ora-dev-vi4-d1.vmware.com","4.1.100-1470"
