vendor,device,model,versiontype,version
"avamar","pa-psynch1.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-test2-fmwsoa-a1.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-test2-osb-a2.vmware.com","avamar client","version","5.0.106-28"
"avamar","exrecserv.recovery.com","avamar client","version","4.1.101-340"
"avamar","webmysql-prd-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-stage-osb-a1.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-burlterm01.vmware.com","avamar client","version","4.1.101-340"
"avamar","dr-perfwebsvc1.vmware.com","avamar client","version","4.1.101-340"
"avamar","portal-vmwperf-betan-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","telecom-dhcp-2.vmware.com","avamar client","version","4.1.101-340"
"avamar","epo-db-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-backup3.vmware.com","avamar client","version","4.1.101-340"
"avamar","pi-otrs.vmware.com","avamar client","version","3.7.1-100"
"avamar","sblcctstage1.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-ucmprod-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","ora-phnx-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-ace02.vmware.com","avamar client","version","4.1.101-340"
"avamar","interwoven-dev-teamsite-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","dc-knova-kss3.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmweb-apache-ha-11.vmware.com2011.03.07.13.39.48","avamar client","version","3.7.1-100"
"avamar","osoft-webapp1.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-dev-fmwsoax-d1.vmware.com","avamar client","version","6.0.100-592"
"avamar","ora-dmprod-d1.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmportal3-ave.vmware.com","avamar client","version","4.0.3-24"
"avamar","pd-otrs.vmware.com2011.02.07.08.30.54","avamar client","version","4.0.3-24"
"avamar","vmportaldbdev2.vmware.com","avamar client","version","4.0.3-24"
"avamar","cepct.vmware.com2011.03.07.13.41.23","avamar client","version","4.0.3-24"
"avamar","sblesvprod1.vmware.com","avamar client","version","4.0.3-24"
"avamar","sblappdev.vmware.com","avamar client","version","4.0.3-24"
"avamar","sblcctstage3.vmware.com","avamar client","version","4.0.3-24"
"avamar","dc-knova-kss2.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-prod-pridm-d2.vmware.com","avamar client","version","4.1.100-1470"
"avamar","edi-db.vmware.com","avamar client","version","3.7.1-100"
"avamar","sblgwstage1.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-prod-dnb-d1.vmware.com2011.02.09.09.12.06","avamar client","version","4.1.100-1470"
"avamar","ora-perf-ebs-d1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-prod-strm-fmsoa-w1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","wwwa-qa-mysql-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","vf-mgmt-vc.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-edwqa-d1.vmware.com","avamar client","version","4.1.101-340"
"avamar","vmweb-prod-auth-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-prod-ic2.vmware.com","avamar client","version","4.0.3-24"
"avamar","pubeval-qawlc1.vmware.com","avamar client","version","3.7.1-100"
"avamar","vmportaldbdev3.vmware.com","avamar client","version","4.0.3-24"
"avamar","store-stg2wlc3.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-stage-fmsoa-a5.vmware.com","avamar client","version","5.0.106-28"
"avamar","conscripts.vmware.com","avamar client","version","4.0.3-24"
"avamar","strm-dev-ora-db-1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","ora-dev-vmwsup-app-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","mylearnweb-ci01","avamar client","version","4.1.101-340"
"avamar","sblcctprod3.vmware.com","avamar client","version","4.0.3-24"
"avamar","stageucma2","avamar client","version","5.0.106-28"
"avamar","gss-proxy-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","sblwebdev.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-vmportal3db2.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-sls-prd-d1.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-dev-osb-a1.vmware.com","avamar client","version","5.0.106-28"
"avamar","stageucma4","avamar client","version","5.0.106-28"
"avamar","ora-lt-fmsoa-a5.vmware.com","avamar client","version","5.0.106-28"
"avamar","communities-stage-app-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","cware-app2-prod.vmware.com2011.02.14.12.53.55","avamar client","version","4.0.3-24"
"avamar","store-testdb.vmware.com","avamar client","version","3.7.1-100"
"avamar","fbi-prod-app-3.vmware.com2011.02.11.19.26.20","avamar client","version","4.1.101-340"
"avamar","pa-ipass02","avamar client","version","4.1.101-340"
"avamar","sbldmzprod2","avamar client","version","4.0.3-24"
"avamar","ora-stage-siebel-rep-d1.vmware.com","avamar client","version","4.0.3-24"
"avamar","ittools-mysql-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","sblcctprod2.vmware.com","avamar client","version","4.0.3-24"
"avamar","sanhealth-01.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-zenoss-hub-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-dev1-fmwsoa-a1.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-dev2-fmsoa-a2.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-bu-prd-d1.vmware.com","avamar client","version","5.0.106-28"
"avamar","strm-tst-db-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","jabber-prod-db-1.vmware.com2011.02.04.09.50.00","avamar client","version","5.0.105-169"
"avamar","ora-fmprodsoa-w1.vmware.com","avamar client","version","4.0.3-24"
"avamar","jivestagedb.vmware.com","avamar client","version","3.7.1-100"
"avamar","vmportal3-web3.vmware.com2011.02.22.14.23.56","avamar client","version","4.0.3-24"
"avamar","sblwebprod1.vmware.com","avamar client","version","4.0.3-24"
"avamar","maildir.vmware.com","avamar client","version","5.0.105-169"
"avamar","vf-vcd-vc-01.vmware.com","avamar client","version","5.0.106-28"
"avamar","knova-stg-kb2.vmware.com","avamar client","version","3.7.1-100"
"avamar","opsmgmt-sql1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-gssdsi.vmware.com","avamar client","version","4.1.101-340"
"avamar","esvcwebprod2","avamar client","version","4.1.101-340"
