vendor,vmhost,model,biosversion
"HP","osdc-msg1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-msg1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-msg1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-msg1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-t2msg-dr1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-t2msg-dr1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-mail-dr1-1.vmware.com","ProLiant BL460c G7","I27"
"HP","wdc-mail-dr1-2.vmware.com","ProLiant BL460c G7","I27"
"HP","wdc-mail-dr1-3.vmware.com","ProLiant BL460c G7","I27"
"HP","wdc-mail-dr1-4.vmware.com","ProLiant BL460c G7","I27"
"HP","wdc-mail-dr1-5.vmware.com","ProLiant BL460c G7","I27"
"HP","wdc-mail-dr1-6.vmware.com","ProLiant BL460c G7","I27"
"HP","at-vmg1-1.vmware.com","ProLiant BL685c G1","A08"
"HP","at-vmg1-2.vmware.com","ProLiant BL685c G1","A08"
"HP","at-vmg1-4.vmware.com","ProLiant BL685c G1","A08"
"HP","at-vmg1-5.vmware.com","ProLiant BL685c G1","A08"
"HP","at-vmg1-6.vmware.com","ProLiant BL685c G1","A08"
"HP","at-vmg1-3.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-labmanager1-1.vmware.com","ProLiant BL685c G1","A08"
"HP","wdc-labmanager1-3.vmware.com","ProLiant BL685c G1","A08"
"HP","wdc-labmanager1-2.vmware.com","ProLiant BL685c G1","A08"
"HP","wdc-labmanager1-4.vmware.com","ProLiant BL685c G1","A08"
"HP","view-vmg2-1.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg2-2.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg2-3.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg2-4.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg2-5.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-8.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg2-6.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg2-8.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-5.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-6.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-4.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-7.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-1.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-2.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg1-3.vmware.com","ProLiant BL685c G7","A20"
"HP","view-vmg2-7.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest2-1.vmware.com","ProLiant BL685c G1","A08"
"HP","wdc-devtest4-1.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-2.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-3.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-4.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-5.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-6.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-7.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-8.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-9.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-12.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-16.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-10.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-13.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-14.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-15.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest4-11.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-devtest1-8.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-13.vmware.com","ProLiant BL680c G5","I17"
