"timestamp","vcserver","cluster","vmhost","uuid","connectionstate","powerstate","vendor","model","memorysize","cpumodel","cpuhz","numcpupackages","numcpucores","numcputhreads","esxproductname","esxversion","esxbuild","serialnumber","biosversion"
"2011-11-21 02:04:42","osdc-srm-vc-1.vmware.com","osdc-msg1","osdc-msg1-6.vmware.com","34343335-3237-5553-4538-303939364253","connected","poweredOn","HP","ProLiant BL680c G5","68716621824","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400084981","4","16","16","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:04:42","osdc-srm-vc-1.vmware.com","osdc-msg1","osdc-msg1-3.vmware.com","34343335-3237-5553-4538-30383932574d","connected","poweredOn","HP","ProLiant BL680c G5","68716621824","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400082596","4","16","16","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:04:42","osdc-srm-vc-1.vmware.com","osdc-msg1","osdc-msg1-4.vmware.com","34343335-3237-5553-4538-303839325753","connected","poweredOn","HP","ProLiant BL680c G5","68716621824","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400084243","4","16","16","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:05:01","wdc-srm-vc-1.vmware.com","wdc-t2msg-dr1","wdc-t2msg-dr1-2.vmware.com","34343335-3237-5553-4538-303839325746","connected","poweredOn","HP","ProLiant BL680c G5","68716519424","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400082704","3","12","12","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:05:01","wdc-srm-vc-1.vmware.com","wdc-t2msg-dr1","wdc-t2msg-dr1-4.vmware.com","34343335-3237-5553-4538-30383932574b","connected","poweredOn","HP","ProLiant BL680c G5","68716519424","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400082443","4","16","16","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:05:01","wdc-srm-vc-1.vmware.com","wdc-t2msg-dr1","wdc-t2msg-dr1-5.vmware.com","34343335-3237-5553-4538-303839325745","notResponding","unknown","HP","ProLiant BL680c G5","68716519424","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400082443","4","16","16","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:05:01","wdc-srm-vc-1.vmware.com","wdc-t2msg-dr1","wdc-t2msg-dr1-3.vmware.com","34343335-3237-5553-4538-303839325756","notResponding","unknown","HP","ProLiant BL680c G5","68716519424","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400082533","4","16","16","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:05:01","wdc-srm-vc-1.vmware.com","wdc-t2msg-dr1","wdc-t2msg-dr1-1.vmware.com","34343335-3237-5553-4538-303839325752","notResponding","unknown","HP","ProLiant BL680c G5","68716519424","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400083208","4","16","16","VMware ESX","4.0.0","208167",,"I17"
"2011-11-21 02:05:30","wdc-srm-vc-2.vmware.com","wdc-mail-dr1","wdc-mail-dr1-1.vmware.com","36303337-3138-5553-4530-3431324d4c32","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436990","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:05:30","wdc-srm-vc-2.vmware.com","wdc-mail-dr1","wdc-mail-dr1-2.vmware.com","36303337-3138-5553-4530-3431324d4c35","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436946","2","12","24","VMware ESX","4.1.0","348481",,"I27"
