"vcserver","datacenter","vmhost","vmname","timestamp","username","eventmsg","tag","event_type"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-ebiz1-7.vmware.com","S2-prod-wsvcs-2","1/31/2011 10:27:57 PM","VMWAREM\adm.shilton","Clone of S2-prod-wsvcs-2 completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-dmz1-4.vmware.com","cloudeval-poc-2 (delete after Aug 15, 2010)","2/1/2011 12:10:21 AM","VMWAREM\adm.felizondo","Removed cloudeval-poc-2 (delete after Aug 15, 2010) on osdc-dmz1-4.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-2.vmware.com","epo-app-1-old","2/1/2011 12:11:04 AM","VMWAREM\adm.felizondo","Removed epo-app-1-old on osdc-vmg2-2.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-6.vmware.com","epo-reposit-1","2/1/2011 12:11:25 AM","VMWAREM\adm.felizondo","Removed epo-reposit-1 on osdc-vmg2-6.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-6.vmware.com","epo-db-1","2/1/2011 12:11:50 AM","VMWAREM\adm.felizondo","Removed epo-db-1 on osdc-vmg2-6.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-15.vmware.com","oldbes-sql-1","2/1/2011 12:13:36 AM","VMWAREM\adm.felizondo","Removed oldbes-sql-1 on osdc-vmg3-15.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","10.20.86.85","clone-vc-prod-ciq","2/1/2011 1:25:48 AM","VMWAREM\adm.bmathia","Removed clone-vc-prod-ciq on 10.20.86.85 from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","10.20.86.85","clone-vc-prod-ciq","2/1/2011 2:02:50 AM","VMWAREM\adm.bmathia","Clone of clone-vc-prod-ciq completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg3-1.vmware.com","cepct - delete after 1%2f1%2f11","2/1/2011 11:43:19 PM","VMWAREM\adm.felizondo","Removed cepct - delete after 1/1/11 on sc9-prod-vmg3-1.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-t2prod1-2.vmware.com","0000 Please Delete per John Chan HZ TK 658251 iwov-prod-search-1","2/3/2011 9:11:25 PM","VMWAREM\adm.mphilips","Removed 0000 Please Delete per John Chan HZ TK 658251 iwov-prod-search-1 on wdc-t2prod1-2.vmware.com from North America Remote Sites",,"VmRemovedEvent"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-t2prod1-2.vmware.com","0000 Please Snapshot per HZ680122 iwov-prod-db-1 (delete after 1%2f15%2f2011)","2/3/2011 9:18:43 PM","VMWAREM\adm.mphilips","Removed 0000 Please Snapshot per HZ680122 iwov-prod-db-1 (delete after 1/15/2011) on wdc-t2prod1-2.vmware.com from North America Remote Sites",,"VmRemovedEvent"
"vc-prod-1.vmware.com","North America Remote Sites","wdc-t2prod1-1.vmware.com","0000 Please Snapshot per HZ680122 iwov-prod-teamsite-1 (delete after 1%2f15%2f20","2/3/2011 9:19:00 PM","VMWAREM\adm.mphilips","Removed 0000 Please Snapshot per HZ680122 iwov-prod-teamsite-1 (delete after 1/15/20 on wdc-t2prod1-1.vmware.com from North America Remote Sites",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-6.vmware.com","sc9-mevm1","2/3/2011 10:04:16 PM","VMWAREM\adm.acheung","Created virtual machine sc9-mevm1 on sc9-prod-vmg4-6.vmware.com in Santa Clara",,"VmCreatedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-2.vmware.com","sc9-mevm2","2/3/2011 10:05:52 PM","VMWAREM\adm.acheung","Created virtual machine sc9-mevm2 on sc9-prod-vmg4-2.vmware.com in Santa Clara",,"VmCreatedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-7.vmware.com","sc9-mevm3","2/3/2011 10:06:54 PM","VMWAREM\adm.acheung","Created virtual machine sc9-mevm3 on sc9-prod-vmg4-7.vmware.com in Santa Clara",,"VmCreatedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-5.vmware.com","sc9-mevm4","2/3/2011 10:07:47 PM","VMWAREM\adm.acheung","Created virtual machine sc9-mevm4 on sc9-prod-vmg4-5.vmware.com in Santa Clara",,"VmCreatedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-1.vmware.com","sc9-mevm5","2/3/2011 10:08:39 PM","VMWAREM\adm.acheung","Created virtual machine sc9-mevm5 on sc9-prod-vmg4-1.vmware.com in Santa Clara",,"VmCreatedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-6.vmware.com","sc9-mevm1","2/3/2011 10:09:02 PM","VMWAREM\adm.acheung","Removed sc9-mevm1 on sc9-prod-vmg4-6.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-7.vmware.com","sc9-mevm3","2/3/2011 10:09:10 PM","VMWAREM\adm.acheung","Removed sc9-mevm3 on sc9-prod-vmg4-7.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-5.vmware.com","sc9-mevm4","2/3/2011 10:09:19 PM","VMWAREM\adm.acheung","Removed sc9-mevm4 on sc9-prod-vmg4-5.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-2.vmware.com","sc9-mevm2","2/3/2011 10:09:26 PM","VMWAREM\adm.acheung","Removed sc9-mevm2 on sc9-prod-vmg4-2.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-1.vmware.com","sc9-mevm5","2/3/2011 10:09:35 PM","VMWAREM\adm.acheung","Removed sc9-mevm5 on sc9-prod-vmg4-1.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-7.vmware.com","sc9-mevm1","2/3/2011 10:14:14 PM","VMWAREM\adm.acheung","Template sc9-mevm1 deployed on host sc9-prod-vmg4-7.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-3.vmware.com","sc9-mevm2","2/3/2011 10:16:58 PM","VMWAREM\adm.acheung","Template sc9-mevm2 deployed on host sc9-prod-vmg4-3.vmware.com",,"VmDeployedEvent"
