"timestamp","vcserver","vmname","name","type","connectstate","macaddress","networkname"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-tst-ilog-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:39","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-tst-drm-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:0d:d4","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","hpperf-ctl-4","Network adapter 1","Network adapter 1",,"00:50:56:98:01:40","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ppmtest","Network adapter 1","Network adapter 1",,"00:50:56:98:03:0f","osdc-dev-10.16.70.128/25"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","communities-test2-db-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:43","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","hpperf-ctl-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:44","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-ucmtst-1Do NOT use until you Change the IP","Network adapter 1","Network adapter 1",,"00:50:56:a0:72:11","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","hpperf-ctl-2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:45","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:4c","DMZ-10.130.64.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-1","Network adapter 2","Network adapter 2",,"00:50:56:98:01:4d","RAC-192.168.10.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-3","Network adapter 1","Network adapter 1",,"00:50:56:98:07:d3","DMZ-10.130.64.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-3","Network adapter 2","Network adapter 2",,"00:50:56:98:75:90","RAC-192.168.10.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-4","Network adapter 1","Network adapter 1",,"00:50:56:98:0e:a7","DMZ-10.130.64.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-4","Network adapter 2","Network adapter 2",,"00:50:56:98:2b:4c","RAC-192.168.10.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-2","Network adapter 1","Network adapter 1",,"00:50:56:98:50:4e","DMZ-10.130.64.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wwwapps-uat-web-2","Network adapter 2","Network adapter 2",,"00:50:56:98:4c:a5","RAC-192.168.10.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-uat-ebs-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:00:34","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","drm-tst-app-a1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:52","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","test-toolsu3","Network adapter 1","Network adapter 1",,"00:50:56:84:3c:7b","dc-server-10.16.69.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-tst-catsso-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:53","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","cat-dev-www-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:56","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-dev-catsso-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:57","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","cat-dev-mln-a2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:5d","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-dev-pmgmtss-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:61","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","web-lt-sso-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:66","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","web-lt-sso-2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:67","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-lt-hhq-2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:68","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-test-portal-3","Network adapter 1","Network adapter 1",,"00:50:56:98:01:69","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-test-portal-4","Network adapter 1","Network adapter 1",,"00:50:56:98:01:6a","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-perf-hhqpatm-1-tobeDeleted-Darren","Network adapter 1","Network adapter 1",,"00:50:56:98:01:6c","osdc-dev2-10.16.20.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","fb72-218-32bit-ec-vm","Network adapter 1","Network adapter 1",,"00:50:56:98:01:6d","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-dev2-fmsoa-a1","Network adapter 1","Network adapter 1",,"00:50:56:84:58:9c","osdc-dev2-10.16.20.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-perf-patm-1-tobeDeleted-Darren","Network adapter 1","Network adapter 1",,"00:50:56:98:01:6f","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-perf-patm-2-tobeDeleted-Darren","Network adapter 1","Network adapter 1",,"00:50:56:98:01:70","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-perf-patm-4-tobeDeleted-Darren","Network adapter 1","Network adapter 1",,"00:50:56:98:01:72","osdc-dev2-10.16.20.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","cti-poc (Temp VM - See Notes)","Network adapter 1","Network adapter 1",,"00:50:56:98:01:74","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-dev-gsswfm-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:75","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-perf-offpm-1-tobeDeleted-Darren","Network adapter 1","Network adapter 1",,"00:50:56:98:01:76","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","GSS-dev-wfm-a1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:78","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","cat-tst-www-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:7a","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wdc-splunk-poc-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:7b","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","wdc-splunk-poc-2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:7c","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","fbi-qa-app-3","Network adapter 1","Network adapter 1",,"00:50:56:98:01:7d","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-hhqlr-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:7e","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-lrp-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:7f","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-lrp-2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:80","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-lrp-3","Network adapter 1","Network adapter 1",,"00:50:56:98:01:81","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-lrp-4","Network adapter 1","Network adapter 1",,"00:50:56:98:01:82","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","oacentral","Network adapter 1","Network adapter 1",,"00:50:56:98:01:85","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","drm-lt-app-a1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:89","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-dev4-ksedw-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:8a","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","inf-dev4-ksinf-a1","Network adapter 1","Network adapter 1",,"00:50:56:98:07:52","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-dev4-ksinf-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:8c","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","communities-test2-app-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:8e","wdc-devtest-server-10.128.80.0/20"
