ip,link_status,name,port_id,port_status,switch_present,wwnn,wwpn
10.113.81.5,Down,B,7,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6F:47:20:2D:D9
10.113.81.5,Down,B,8,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:68:47:24:2D:D9
10.113.81.5,Down,B,9,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:69:47:24:2D:D9
10.113.81.5,Down,B,10,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6A:47:24:2D:D9
10.113.81.5,Down,B,11,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:6B:47:24:2D:D9
10.113.81.5,Up,A,0,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:60:47:20:2D:D9
10.113.81.5,Up,A,1,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:61:47:20:2D:D9
10.113.81.5,Up,A,2,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:62:47:20:2D:D9
10.113.81.5,Up,A,3,Online,YES,50:06:01:60:C7:20:2D:D9,50:06:01:63:47:20:2D:D9
10.113.81.5,Down,A,4,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:64:47:20:2D:D9
10.113.81.5,Down,A,5,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:65:47:20:2D:D9
10.113.81.5,Down,A,6,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:66:47:20:2D:D9
10.113.81.5,Down,A,7,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:67:47:20:2D:D9
10.113.81.5,Down,A,8,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:60:47:24:2D:D9
10.113.81.5,Down,A,9,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:61:47:24:2D:D9
10.113.81.5,Down,A,10,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:62:47:24:2D:D9
10.113.81.5,Down,A,11,DISABLED,NO,50:06:01:60:C7:20:2D:D9,50:06:01:63:47:24:2D:D9
10.113.89.201,Down,B,7,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:6F:44:60:44:9E
10.113.89.201,Down,B,6,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:6E:44:60:44:9E
10.113.89.201,Up,B,0,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:68:44:60:44:9E
10.113.89.201,Up,B,5,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6D:44:60:44:9E
10.113.89.201,Up,B,1,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:69:44:60:44:9E
10.113.89.201,Up,B,4,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6C:44:60:44:9E
10.113.89.201,Up,B,3,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6B:44:60:44:9E
10.113.89.201,Up,B,2,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:6A:44:60:44:9E
10.113.89.201,Down,A,7,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:67:44:60:44:9E
10.113.89.201,Down,A,6,DISABLED,NO,50:06:01:60:C4:60:44:9E,50:06:01:66:44:60:44:9E
10.113.89.201,Up,A,0,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:60:44:60:44:9E
10.113.89.201,Up,A,5,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:65:44:60:44:9E
10.113.89.201,Up,A,1,Online,NO,50:06:01:60:C4:60:44:9E,50:06:01:61:44:60:44:9E
10.113.89.201,Up,A,4,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:64:44:60:44:9E
10.113.89.201,Up,A,3,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:63:44:60:44:9E
10.113.89.201,Up,A,2,Online,YES,50:06:01:60:C4:60:44:9E,50:06:01:62:44:60:44:9E
10.113.89.205,Up,B,3,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:6B:46:E0:13:38
10.113.89.205,Up,B,2,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:6A:46:E0:13:38
10.113.89.205,Up,B,0,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:68:46:E0:13:38
