VM name,status,Date Created,OS,memGB,diskGB,IP,vApp name,vApp status,Application,Application Owner,Owner Email,OrgVDC,Organization,VM description,vApp description
cbr-dev-dr-a1,PoweredOn,,Other 2.6.x Linux (64-bit),8,100,10.127.240.106,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-dev-rmq-a1,PoweredOn,,Other 2.6.x Linux (64-bit),4,38,10.127.240.108,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-qa-dr-a1,PoweredOn,,Other 2.6.x Linux (64-bit),8,82,10.127.240.104,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-qa-dr-a2,PoweredOn,,Other 2.6.x Linux (64-bit),8,82,10.127.241.113,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-qa-rmq-a1,PoweredOn,,Other 2.6.x Linux (64-bit),4,60,10.127.241.114,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-qa-rmq-a2,PoweredOn,,Other 2.6.x Linux (64-bit),4,60,10.127.241.115,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-test6-repo-1,PoweredOn,,Other 2.6.x Linux (64-bit),4,176,10.127.240.112,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-test6-solr-1,PoweredOn,,Other 2.6.x Linux (64-bit),4,81,10.127.240.113,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-test6-solr-2,PoweredOn,,Other 2.6.x Linux (64-bit),4,81,10.127.240.114,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-test-app-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,73,10.127.242.103,Aloha_CBR,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-uat-app-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,73,10.127.242.104,Aloha_CBR,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-uat-dr-a1,PoweredOn,,Other 2.6.x Linux (64-bit),8,88,10.127.240.99,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-uat-dr-a2,PoweredOn,,Other 2.6.x Linux (64-bit),8,88,10.127.240.100,vApp_CBRUAT,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
ccred-dev-app1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,99,10.127.241.67,vApp_ccred,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
ccred-dev-app1-stage,PoweredOff,,CentOS 4/5/6/7 (64-bit),8,200,,vApp_parumugam_17,PoweredOff,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
ccred-dev-app1-test,PoweredOn,,CentOS 4/5/6/7 (64-bit),8,200,10.127.241.73,vApp_ccred,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
ccred-dev-db1,PoweredOn,,CentOS 4/5/6/7 (64-bit),8,137,10.127.241.68,vApp_ccred,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cell1-voc-karanthg,PoweredOn,,CentOS 4/5/6/7 (64-bit),8,100,10.127.240.18,TEAMSITE,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cemea-dev-pso-vco01,PoweredOff,,SUSE Linux Enterprise 11 (64-bit),4,107,10.127.240.140,VCO,ChildrenWithDifferentStatus,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"Automate tasks for VMware vSphere and enable orchestration between multiple solutions. VMware vCenter Orchestrator allows administrators to capture their best practices and turn them into automated workflows.",""
cent-dev-stdb-2,PoweredOff,,CentOS 4/5/6/7 (64-bit),10,1057,,crops_prod,PoweredOff,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
CentOS-5.9-Postgres-Large,PoweredOff,,CentOS 4/5/6/7 (64-bit),16,300,,vApp_ehambarama_43,PoweredOff,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
Centos-6,PoweredOn,,CentOS 4/5/6/7 (64-bit),2,58,,vro-1,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
CentOS-6.4-small-vCAC,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,75,192.168.2.100,joshgreen1-deleteme,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
