ip,port,name
10.113.68.189,7501,ora-stage-fmidm-7501-ovd-pool
10.113.68.66,80,phnx-portal-stage-pool
10.113.68.67,80,phnx-portal-stage-pool
10.113.68.89,80,phnx-portal-stage-pool
10.113.68.90,80,phnx-portal-stage-pool
10.113.68.91,80,phnx-portal-stage-pool
10.113.68.66,80,phnx-portal-stage-pool
10.113.68.67,80,phnx-portal-stage-pool
10.113.68.89,80,phnx-portal-stage-pool
10.113.68.90,80,phnx-portal-stage-pool
10.113.68.91,80,phnx-portal-stage-pool
10.113.68.145,7007,portal-stage-licn-pool
10.113.68.146,7007,portal-stage-licn-pool
10.113.68.25,7037,portal-stage-vpp-pool
10.113.68.26,7037,portal-stage-vpp-pool
10.113.68.226,8231,s2-stage-accessws-pool
10.113.68.227,8231,s2-stage-accessws-pool
10.113.68.224,8001,s2-stage-admn-pool
10.113.68.225,8001,s2-stage-admn-pool
10.113.68.224,8211,s2-stage-admn2-pool
10.113.68.225,8211,s2-stage-admn2-pool
10.113.68.202,8131,s2-stage-dload-pool
10.113.68.203,8131,s2-stage-dload-pool
10.113.68.202,8151,s2-stage-eval-pool
10.113.68.203,8151,s2-stage-eval-pool
10.113.68.246,8021,s2-stage-offpm-pool
10.113.68.247,8021,s2-stage-offpm-pool
10.113.52.215,8011,s2-stage-onlinepm--pool
10.113.68.202,8171,s2-stage-sca-pool
10.113.68.203,8171,s2-stage-sca-pool
10.113.68.224,8051,s2-stage-support-pool
10.113.68.225,8051,s2-stage-support-pool
10.113.68.202,8111,s2-stage-tcs1-pool
10.113.68.203,8111,s2-stage-tcs1-pool
10.113.68.202,8211,s2-stage-tcs2-pool
10.113.68.203,8211,s2-stage-tcs2-pool
10.113.68.204,8311,s2-stage-tcs3-pool
10.113.68.205,8311,s2-stage-tcs3-pool
10.113.68.202,8311,s2-stage-tcs3-pool
10.113.68.203,8311,s2-stage-tcs3-pool
10.113.68.204,8411,s2-stage-tcs4-pool
10.113.68.205,8411,s2-stage-tcs4-pool
10.113.68.202,8411,s2-stage-tcs4-pool
10.113.68.203,8411,s2-stage-tcs4-pool
10.113.68.237,8511,s2-stage-tcs5-pool
10.113.68.238,8511,s2-stage-tcs5-pool
10.113.68.204,8511,s2-stage-tcs5-pool
10.113.68.205,8511,s2-stage-tcs5-pool
10.113.68.237,8611,s2-stage-tcs6-pool
10.113.68.238,8611,s2-stage-tcs6-pool
10.113.68.204,8611,s2-stage-tcs6-pool
10.113.68.205,8611,s2-stage-tcs6-pool
10.113.68.239,8711,s2-stage-tcs7-pool
10.113.68.240,8711,s2-stage-tcs7-pool
10.113.68.204,8711,s2-stage-tcs7-pool
10.113.68.205,8711,s2-stage-tcs7-pool
10.113.68.239,8811,s2-stage-tcs8-pool
10.113.68.240,8811,s2-stage-tcs8-pool
10.113.68.224,8011,s2-stage-util-pool
10.113.68.225,8011,s2-stage-util-pool
10.113.68.202,8181,s2-stage-vmwsvc-pool
10.113.68.203,8181,s2-stage-vmwsvc-pool
10.113.68.224,81,s2-stage-wcm-pool-stabdby
10.113.68.225,81,s2-stage-wcm-pool-stabdby
10.113.68.224,80,s2-stage-wcm-pool
10.113.68.225,80,s2-stage-wcm-pool
10.113.68.155,80,s2-stage-wcm-pool
10.113.68.156,80,s2-stage-wcm-pool
10.113.68.226,8181,s2-stage-websvc1-pool
10.113.68.227,8181,s2-stage-websvc1-pool
10.113.68.226,8281,s2-stage-websvc2-pool
10.113.68.227,8281,s2-stage-websvc2-pool
10.113.68.226,8381,s2-stage-websvc3-pool
10.113.68.227,8381,s2-stage-websvc3-pool
10.113.68.23,7031,stage-Account-pool
10.113.68.24,7031,stage-Account-pool
10.113.68.25,7025,stage-Beta-pool
10.113.68.26,7025,stage-Beta-pool
10.113.68.27,7013,stage-Download-pool
10.113.68.28,7013,stage-Download-pool
10.113.68.29,7027,stage-Eval-pool
10.113.68.31,7027,stage-Eval-pool
10.113.68.32,7017,stage-ISV-pool
10.113.68.33,7017,stage-ISV-pool
10.113.68.34,7011,stage-License-pool
10.113.68.35,7011,stage-License-pool
10.113.68.36,7015,stage-OEM-pool
10.113.68.37,7015,stage-OEM-pool
10.113.68.38,7019,stage-Support-pool
10.113.68.39,7019,stage-Support-pool
10.113.68.40,7035,stage-Upgrade-pool
10.113.68.41,7033,stage-Utility-pool
10.113.68.42,7033,stage-Utility-pool
10.113.68.125,7003,stage-betan-pool
10.113.68.126,7003,stage-betan-pool
10.113.68.137,7005,stage-s3p3-pool
10.113.68.138,7005,stage-s3p3-pool
10.113.68.43,12400,stage-soarmi-1-pool
10.113.68.44,12400,stage-soarmi-1-pool
10.113.68.67,12400,stage-soarmi-1-pool
10.113.68.139,12400,stage-soarmi-1-pool
10.113.68.121,80,stage-webgate-pool
10.113.68.122,80,stage-webgate-pool
10.113.68.123,80,stage-webgate-pool
10.113.68.124,80,stage-webgate-pool
10.113.68.199,7777,stageosb-pool
10.113.68.200,7777,stageosb-pool
10.113.68.23,8011,stageosb-8011-pool
10.113.68.24,8011,stageosb-8011-pool
10.113.68.215,8011,stageosb-8011-pool
10.113.68.216,8011,stageosb-8011-pool
10.113.68.56,7777,stagesoax-pool
10.113.68.66,7777,stagesoax-pool
10.113.68.129,7777,stagesoax-pool
10.113.68.131,7777,stagesoax-pool
10.113.68.133,7777,stagesoax-pool
10.113.68.47,7780,stgidm-pool
10.113.68.48,7780,stgidm-pool
10.113.68.57,7780,stgidm-pool
10.113.68.45,7777,stgsoa-pool
10.113.68.46,7777,stgsoa-pool
10.113.68.45,7777,stgsoa-pool
10.113.68.46,7777,stgsoa-pool
10.113.68.85,7780,ucmstage-pool
10.113.68.185,7780,ucmstage-pool
10.113.68.183,8888,ucmstagetril-pool
10.113.68.184,8888,ucmstagetril-pool
10.22.16.34,80,vam-stage-lamp-pool
10.22.16.35,80,vam-stage-lamp-pool
10.22.16.38,3306,vam-stage-mysql-pool
10.22.16.39,3306,vam-stage-mysql-pool
10.113.61.165,7071,zimbra-prod-proxy-7071-pool
10.113.61.166,7071,zimbra-prod-proxy-7071-pool
10.113.61.167,7071,zimbra-prod-proxy-7071-pool
10.113.61.168,7071,zimbra-prod-proxy-7071-pool
10.113.160.194,7071,zimbra-prod-proxy-7071-pool
10.113.160.201,7071,zimbra-prod-proxy-7071-pool
10.113.160.202,7071,zimbra-prod-proxy-7071-pool
10.113.160.203,7071,zimbra-prod-proxy-7071-pool
10.113.160.206,7071,zimbra-prod-proxy-7071-pool
10.113.163.31,7071,zimbra-prod-proxy-7071-pool
10.113.163.32,7071,zimbra-prod-proxy-7071-pool
10.113.163.33,7071,zimbra-prod-proxy-7071-pool
10.113.163.34,7071,zimbra-prod-proxy-7071-pool
10.113.160.28,22,conscripts-ssh-vip
10.113.160.29,22,conscripts-ssh-vip
10.113.161.157,80,vmweb-prod-people-1-pool
10.113.61.114,22,fedscripts-ssh-pool
10.113.61.115,22,fedscripts-ssh-pool
10.113.161.116,80,changepoint-http-pool
10.113.161.117,80,changepoint-http-pool
10.113.161.144,443,source-pool
10.113.161.145,443,source-pool
10.113.161.146,443,source-pool
10.113.161.144,80,vmshare-pool
10.113.161.145,80,vmshare-pool
10.113.161.146,80,vmshare-pool
10.113.161.144,443,vmshare-ssl-pool
10.113.161.145,443,vmshare-ssl-pool
10.113.161.146,443,vmshare-ssl-pool
10.113.60.186,8080,vam-prod-solr-pool
10.113.60.189,8080,vam-prod-solr-pool
10.113.61.216,8080,cat-prod-mln-pool
10.113.61.219,8080,cat-prod-mln-pool
10.113.61.102,8080,cat-prod-mln-pool
10.113.61.154,8080,cat-prod-mln-pool
10.113.61.244,3306,partnerweb-prod-mysql-pool-1
10.113.61.245,3306,partnerweb-prod-mysql-pool-1
10.113.160.93,8080,knova-prod-kss-pool
10.113.160.121,8080,knova-prod-kss-pool
10.113.160.122,8080,knova-prod-kss-pool
