name,ip,port,f5cluster_name
askvmware-prod-ssl-vip,10.113.63.51,443,sc9-prod-stage-dmz-2
askvmware-prod-vip,10.113.63.51,80,sc9-prod-stage-dmz-2
mvp-support-vip-1,10.113.63.32,443,sc9-prod-stage-dmz-2
archive-outbound-lb.vmware.com,10.113.208.58,25,sc9-prod-stage-dmz-2
radio-ext-vip,10.113.208.82,80,sc9-prod-stage-dmz-2
gemstone-http-vip,10.113.63.100,80,sc9-prod-stage-dmz-2
gemstone-ssl-vip,10.113.63.100,443,sc9-prod-stage-dmz-2
radio-ext-vip-ssl,10.113.208.82,443,sc9-prod-stage-dmz-2
virstosend.vmware.com_ssl,10.113.208.59,443,sc9-prod-stage-dmz-2
comm-prod-ext-vip-http,10.113.62.217,80,sc9-prod-stage-dmz-2
comm-prod-ext-vip-ssl,10.113.62.217,443,sc9-prod-stage-dmz-2
s2-prod-hyperic-http-vip,10.113.63.85,80,sc9-prod-stage-dmz-2
s2-prod-hyperic-ssl-vip,10.113.63.85,443,sc9-prod-stage-dmz-2
comm-prod-int-vip-ssl,10.113.62.218,443,sc9-prod-stage-dmz-2
comm-prod-int-vip-http,10.113.62.218,80,sc9-prod-stage-dmz-2
virstosend-ext-sftp-vip,10.113.208.83,22,sc9-prod-stage-dmz-2
ec-mol-vip,10.113.63.57,443,sc9-prod-stage-dmz-2
virstosend-int-sftp-vip,10.113.208.59,22,sc9-prod-stage-dmz-2
virstosend-ext.vmware.com_ssl,10.113.208.83,443,sc9-prod-stage-dmz-2
virstosend-int.vmware.com_ssl,10.113.208.59,443,sc9-prod-stage-dmz-2
webhost-prod-web-ftp-vip-1,10.113.63.15,21,sc9-prod-stage-dmz-2
webhost-prod-web-ssl-vip-1,10.113.63.15,443,sc9-prod-stage-dmz-2
ueip-vip,10.113.63.8,443,sc9-prod-stage-dmz-2
webhost-prod-web-vip-1,10.113.63.15,80,sc9-prod-stage-dmz-2
vault-stage.vmware.com,10.113.54.96,80,sc9-prod-stage-dmz-2
vault-stage-ssl,10.113.54.96,443,sc9-prod-stage-dmz-2
vault-prod.vmware.com,10.113.63.162,80,sc9-prod-stage-dmz-2
