name,lb_method,name,f5cluster_name
eclipse-prod-techpubs-pool,ROUND,ROBIN,eclipse-prod-techpubs-8080-vip,sc9-prod-stage-dmz-1
s2-prod-hyperic-6501-pool,ROUND,ROBIN,s2-prod-hyperic-389-vip,sc9-prod-stage-dmz-1
sfdc-stage-apache-pool-1,LEAST,CONNECTION_MEMBER,sfdc-stage-apache-7777-vip,sc9-prod-stage-dmz-1
s2-prod-hyperic-web-pool,ROUND,ROBIN,s2-prod-hyperic-ssl-vip,sc9-prod-stage-dmz-1
view-ss-http-pool,ROUND,ROBIN,view-ss-http-vip,sc9-prod-stage-dmz-1
zimbra-prod-ext-proxy-pool,ROUND,ROBIN,zimbra-prod-ext-proxy-vip,sc9-prod-stage-dmz-1
zimbra-prod-webproxy-pool,ROUND,ROBIN,zimbra-prod-webproxy-vip,sc9-prod-stage-dmz-1
gemstone-ssl-pool,ROUND,ROBIN,gemstone-ssl-vip,sc9-prod-stage-dmz-1
knova-prod-kb-pool,ROUND,ROBIN,knova-prod-kb-vip,sc9-prod-stage-dmz-1
eclipse-prod-techpubs-pool,ROUND,ROBIN,eclipse-prod-techpubs-ssl-vip,sc9-prod-stage-dmz-1
knova-stg-kb-pool,ROUND,ROBIN,knova-stg-kb-vip,sc9-prod-stage-dmz-1
ftpsite-ssh-pool,ROUND,ROBIN,ftpsite-ssh-vip,sc9-prod-stage-dmz-1
ftpsite-https-pool,ROUND,ROBIN,ftpsite-https-vip,sc9-prod-stage-dmz-1
ceip-stage-pool,ROUND,ROBIN,ceip-stage-ssl-vip,sc9-prod-stage-dmz-1
ceip-prod-pool,ROUND,ROBIN,ceip-prod-vip,sc9-prod-stage-dmz-1
zimbra-imap-pool-465,PREDICTIVE,MEMBER,zimbra-465-vip,sc9-prod-stage-dmz-1
ceip-stage-pool,ROUND,ROBIN,ceip-stage-vip,sc9-prod-stage-dmz-1
sfdc-stage-apache-pool-1,LEAST,CONNECTION_MEMBER,sfdc-stage-apache-80-vip,sc9-prod-stage-dmz-1
zimbra-prod-ext-proxy-993-pool,ROUND,ROBIN,zimbra-prod-ext-proxy-993-vip,sc9-prod-stage-dmz-1
www-zimbra-prod-web-pool,LEAST,CONNECTION_MEMBER,socialcast-prod-vip,sc9-prod-stage-dmz-1
ftpsite-https-pool,ROUND,ROBIN,ftpsite-static-webserver-ssl-vip,sc9-prod-stage-dmz-1
ftpsite-ftp-pool,ROUND,ROBIN,ftpsite-int-ftp-vip,sc9-prod-stage-dmz-1
ftpsite-https-pool,ROUND,ROBIN,ftpsite-int-https-vip,sc9-prod-stage-dmz-1
ftpsite-static-webserver-pool,ROUND,ROBIN,ftpsite-static-webserver-vip,sc9-prod-stage-dmz-1
ceip-prod-pool,ROUND,ROBIN,ceip-prod-ssl-vip,sc9-prod-stage-dmz-1
view-ss-ssl-pool,ROUND,ROBIN,view-ss-ssl-viop,sc9-prod-stage-dmz-1
zimbraesna-pool,ROUND,ROBIN,zimbraesna-vip,sc9-prod-stage-dmz-1
w-stage-pool,ROUND,ROBIN,w-stage-ext-vip,sc9-prod-stage-dmz-1
w-stage-pool,ROUND,ROBIN,w-stage-int-vip,sc9-prod-stage-dmz-1
w-stage-pool-SSL,ROUND,ROBIN,w-stage-int-vip-SSL,sc9-prod-stage-dmz-1
w-stage-pool-SSL,ROUND,ROBIN,w-stage-ext-vip-SSL,sc9-prod-stage-dmz-1
supplier-stage-pool,ROUND,ROBIN,supplier-staging-vip,sc9-prod-stage-dmz-1
view-ss-ssl-pool,ROUND,ROBIN,sc9-view-test-vip-http,sc9-prod-stage-dmz-1
view-ss-ssl-pool,ROUND,ROBIN,sc9-view-test-vip,sc9-prod-stage-dmz-1
comm-dev-pool,ROUND,ROBIN,comm-dev-http-vip,sc9-prod-stage-dmz-2
comm-dev-pool,ROUND,ROBIN,comm-dev-https-vip,sc9-prod-stage-dmz-2
knova-prod-kb-pool2,ROUND,ROBIN,knova-prod-kb-vip2,sc9-prod-stage-dmz-2
ssend-https-pool,ROUND,ROBIN,ssend-ext-https-vip,sc9-prod-stage-dmz-2
ssend-sftp-pool,ROUND,ROBIN,ssend-ext-sftp-vip,sc9-prod-stage-dmz-2
ssend-https-pool,ROUND,ROBIN,ssend-int-https-vip,sc9-prod-stage-dmz-2
ssend-sftp-pool,ROUND,ROBIN,ssend-int-sftp-vip,sc9-prod-stage-dmz-2
w-prod-pool,ROUND,ROBIN,w-prod-ext-vip,sc9-prod-stage-dmz-2
w-prod-pool,ROUND,ROBIN,w-prod-int-vip,sc9-prod-stage-dmz-2
www-pool,LEAST,CONNECTION_MEMBER,www-int-ssl-vip,sc9-prod-stage-dmz-2
www-pool,LEAST,CONNECTION_MEMBER,www-int-vip,sc9-prod-stage-dmz-2
www-pool,LEAST,CONNECTION_MEMBER,www-ssl-vip,sc9-prod-stage-dmz-2
www-pool,LEAST,CONNECTION_MEMBER,www-vip,sc9-prod-stage-dmz-2
