name,ip,port,f5_cname,node_ip,node_port,pool_name,lb_method
/onecloud/poc2osb-vip,10.148.232.201,8011,ltm-onecloud-1,10.148.254.2,8011,/onecloud/poc2osb-vip-pool,ROUND,ROBIN
/onecloud/poc2soa-vip,10.148.232.199,7777,ltm-onecloud-1,10.148.254.3,7777,/onecloud/poc2soa-vip-pool,ROUND,ROBIN
/onecloud/poc2soa-vip,10.148.232.199,7777,ltm-onecloud-1,10.148.254.5,7777,/onecloud/poc2soa-vip-pool,ROUND,ROBIN
/onecloud/portal-dev11-flexlm-vip,10.148.232.111,80,ltm-onecloud-1,10.148.238.12,80,/onecloud/portal-dev11-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-dev11-flexlm-vip,10.148.232.111,80,ltm-onecloud-1,10.148.238.13,80,/onecloud/portal-dev11-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-dev12-flexlm-vip,10.148.232.115,80,ltm-onecloud-1,10.148.239.1,80,/onecloud/portal-dev12-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-dev12-flexlm-vip,10.148.232.115,80,ltm-onecloud-1,10.148.239.9,80,/onecloud/portal-dev12-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-dev13-flexlm-vip,10.148.233.15,80,ltm-onecloud-1,10.148.52.10,80,/onecloud/portal-dev13-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-dev14-flexlm-vip,10.148.233.73,80,ltm-onecloud-1,10.148.21.10,80,/onecloud/portal-dev14-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-dev15-flexlm-vip,10.148.232.142,80,ltm-onecloud-1,10.148.68.6,80,/onecloud/portal-dev15-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test11-flexlm-vip,10.148.232.126,80,ltm-onecloud-1,10.148.236.3,80,/onecloud/portal-test11-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test11-flexlm-vip,10.148.232.126,80,ltm-onecloud-1,10.148.236.4,80,/onecloud/portal-test11-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test12-flexlm-vip,10.148.232.190,80,ltm-onecloud-1,10.148.235.17,80,/onecloud/portal-test12-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test12-flexlm-vip,10.148.232.190,80,ltm-onecloud-1,10.148.235.9,80,/onecloud/portal-test12-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test13-flexlm-vip,10.148.232.166,80,ltm-onecloud-1,10.148.234.2,80,/onecloud/portal-test13-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test13-flexlm-vip,10.148.232.166,80,ltm-onecloud-1,10.148.234.3,80,/onecloud/portal-test13-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test13-flexlm-vip,10.148.232.166,80,ltm-onecloud-1,10.148.54.68,80,/onecloud/portal-test13-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test13-flexlm-vip,10.148.232.166,80,ltm-onecloud-1,10.148.54.69,80,/onecloud/portal-test13-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test13-webgate-vip,10.148.233.29,80,ltm-onecloud-1,10.148.54.36,80,/onecloud/portal-test13-webgate-vip-pool,ROUND,ROBIN
/onecloud/portal-test13-webgate-vip,10.148.233.29,80,ltm-onecloud-1,10.148.54.37,80,/onecloud/portal-test13-webgate-vip-pool,ROUND,ROBIN
/onecloud/portal-test14-flexlm-vip,10.148.233.86,80,ltm-onecloud-1,10.148.22.10,80,/onecloud/portal-test14-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test14-flexlm-vip,10.148.233.86,80,ltm-onecloud-1,10.148.22.9,80,/onecloud/portal-test14-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test14-webgate-vip,10.148.233.93,80,ltm-onecloud-1,10.148.22.35,80,/onecloud/portal-test14-webgate-vip-pool,ROUND,ROBIN
/onecloud/portal-test14-webgate-vip,10.148.233.93,80,ltm-onecloud-1,10.148.22.36,80,/onecloud/portal-test14-webgate-vip-pool,ROUND,ROBIN
/onecloud/portal-test15-flexlm-vip,10.148.233.10,80,ltm-onecloud-1,10.148.70.4,80,/onecloud/portal-test15-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test15-flexlm-vip,10.148.233.10,80,ltm-onecloud-1,10.148.70.9,80,/onecloud/portal-test15-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test15-webgate-vip,10.148.233.13,80,ltm-onecloud-1,10.148.70.33,80,/onecloud/portal-test15-webgate-vip-pool,ROUND,ROBIN
/onecloud/portal-test15-webgate-vip,10.148.233.13,80,ltm-onecloud-1,10.148.70.34,80,/onecloud/portal-test15-webgate-vip-pool,ROUND,ROBIN
/onecloud/portal-test31-flexlm-vip,10.148.232.185,80,ltm-onecloud-1,10.148.234.2,80,/onecloud/portal-test31-flexlm-vip-pool,ROUND,ROBIN
/onecloud/portal-test31-flexlm-vip,10.148.232.185,80,ltm-onecloud-1,10.148.234.3,80,/onecloud/portal-test31-flexlm-vip-pool,ROUND,ROBIN
/onecloud/psb-dev11-ml-vip,10.148.232.189,8011,ltm-onecloud-1,10.148.238.53,8011,/onecloud/psb-dev11-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-dev14-ml-vip,10.148.233.8,8011,ltm-onecloud-1,10.148.21.58,8011,/onecloud/psb-dev14-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-dev61-ml-vip,10.148.232.183,8011,ltm-onecloud-1,10.148.249.39,8011,/onecloud/psb-dev61-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-dev62-ml-vip,10.148.232.187,8011,ltm-onecloud-1,10.148.249.46,8011,/onecloud/psb-dev62-ml-vip-pool,ROUND,ROBIN
