id,name,ip,port,application_id,instance_id,tier_id,f5_cluster_id,created_at,updated_at
19,s2-prod-admn2-vip.vmware.com,10.113.76.156,8211,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
20,oraclereport-apps-vip,10.113.76.161,80,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
21,prod-License-vip,10.113.76.98,7011,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
22,prod-OEM-vip,10.113.76.99,7015,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
23,prod-Support-vip,10.113.76.100,7019,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
24,portal-prod-licn-vip,10.113.76.149,7007,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
25,prodosb-vip,10.113.76.193,7777,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
26,prod-Upgrade-vip,10.113.76.101,7035,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
27,ucmprodtril-vip,10.113.76.179,8888,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
28,vam-prod-mysql-vip-1,10.113.76.133,3306,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
29,prod-s3p3-vip,10.113.76.120,7005,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
30,flexprodwebsvc-vip,10.113.76.103,80,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
31,ucmprod-vip,10.113.76.188,7780,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
32,drprodwebsvc-vip,10.113.76.104,7001,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
33,s2-prod-websvc1-vip.vmware.com,10.113.76.242,8181,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
34,prod-Download-vip,10.113.76.95,7013,NULL,NULL,NULL,3,2012-09-14,18:20:12,2012-09-14,18:20:12
35,s2-prod-tcs4-vip.vmware.com,10.113.76.207,8411,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
36,s2-prod-support-vip.vmware.com,10.113.76.245,8051,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
37,oraclereport-vip,10.113.76.177,80,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
38,prodsoa-7777-vip,10.113.76.61,7777,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
39,s2-prod-util-vip.vmware.com,10.113.76.244,8011,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
40,s2-prod-offpm-8021-vip,10.113.76.46,8021,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
41,s2-prod-tcs6-vip.vmware.com,10.113.76.212,8611,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
42,prod-betan-vip,10.113.76.130,7003,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
43,prod-Eval-vip,10.113.76.96,7027,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
44,s2-prod-tcs7-vip.vmware.com,10.113.76.222,8711,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
45,s2-prod-patm-8031-vip,10.113.76.121,8031,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
46,s2-prod-patmtest-8041-vip,10.113.76.122,8041,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
47,s2-prod-admn-vip.vmware.com,10.113.76.243,8001,NULL,NULL,NULL,3,2012-09-14,18:20:13,2012-09-14,18:20:13
48,s2-prod-wcm-vip.vmware.com,10.113.76.155,8251,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
49,s2-prod-accessws-vip.vmware.com,10.113.76.157,8231,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
50,prodidm-vip,10.113.76.62,7780,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
51,s2-prod-tcs1-vip.vmware.com,10.113.76.202,8111,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
52,s2-prod-websvc2-vip.vmware.com,10.113.76.249,8281,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
53,ora-prod-fmidm-ovd-6501-vip,10.113.76.205,389,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
54,portal-prod-vpp-vip,10.113.76.158,7037,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
55,s2-prod-onlinepm-8011-vip,10.113.76.48,8011,NULL,NULL,NULL,3,2012-09-14,18:20:14,2012-09-14,18:20:14
