vendor	device	model	versiontype	version
avamar	datamart-prod.vmware.com	avamar client	version	6.0.100-592
avamar	dc-knova-addb.vmware.com	avamar client	version	3.7.1-100
avamar	dc-knova-adm.vmware.com	avamar client	version	3.7.1-100
avamar	dc-knova-andb.vmware.com	avamar client	version	3.7.1-100
avamar	dc-knova-kcc.vmware.com	avamar client	version	4.0.3-24
avamar	dc-knova-kcc2.vmware.com	avamar client	version	3.7.1-100
avamar	dc-knova-kcc3.vmware.com	avamar client	version	3.7.1-100
avamar	dc-knova-kss.vmware.com	avamar client	version	3.7.1-100
avamar	dc-knova-kss2.vmware.com	avamar client	version	3.7.1-100
avamar	dc-knova-kss3.vmware.com	avamar client	version	4.0.3-24
avamar	dc-knova-proxy.vmware.com	avamar client	version	3.7.1-100
avamar	dc-vmweb-db.vmware.com	avamar client	version	3.7.1-100
avamar	ddt-prod-app-1.vmware.com	avamar client	version	6.0.100-592
avamar	dnsmaster.vmware.com	avamar client	version	4.1.101-340
avamar	download1.vmware.com	avamar client	version	3.7.1-100
avamar	downloads-eoa.vmware.com	avamar client	version	4.1.101-340
avamar	downloads-eoa.vmware.com	avamar client	version	6.0.100-592
avamar	dr-devphxapp01.vmware.com	avamar client	version	3.7.1-100
avamar	dr-devphxapp01.vmware.com	avamar client	version	3.7.1-100
avamar	dr-perfwebsvc1.vmware.com	avamar client	version	4.1.101-340
avamar	dr-portal01.store.ad	avamar client	version	3.7.1-100
avamar	dr-portal02.store.ad	avamar client	version	3.7.1-100
avamar	dr-prodwsvc1.vmware.com	avamar client	version	6.0.100-592
avamar	dr-prodwsvc2.vmware.com	avamar client	version	6.0.100-592
avamar	dr-stagewsvc1.vmware.com	avamar client	version	6.0.100-592
avamar	dr-stagewsvc2.vmware.com	avamar client	version	6.0.100-592
avamar	dr-stgportal1.vmware.com	avamar client	version	3.7.1-100
avamar	dr-stgportal2.vmware.com	avamar client	version	3.7.1-100
avamar	dr-stgwebsvc1.vmware.com	avamar client	version	3.7.1-100
avamar	dr-stgwebsvc2.vmware.com	avamar client	version	3.7.1-100
avamar	dr-uatwebsvc1.vmware.com	avamar client	version	3.7.1-100
avamar	dr-uatwebsvc2.vmware.com	avamar client	version	5.0.106-28
avamar	dr-vmwtestwsvc1.vmware.com	avamar client	version	3.7.1-100
avamar	dr-vmwtestwsvc2.vmware.com	avamar client	version	3.7.1-100
