vendor	model	versiontype	version
emc	CX3-10C SAN/ISCSI COMBO (100-561-294)	sps assy_rev	A06
emc	CX3-20	agentrev	6.26.31(2.70)
emc	CX3-20	promrev	4.00.00
emc	CX3-20	revision	3.26.20.5.031
emc	CX3-20 SAN (100-561-063)	sps assy_rev	A09
emc	CX3-20 SAN (100-561-063)	sps assy_rev	A16
emc	CX3-20 SAN (100-561-860)	sps assy_rev	A08
emc	CX3-40	agentrev	6.26.31(2.70)
emc	CX3-40	promrev	4.00.00
emc	CX3-40	revision	3.26.40.5.031
emc	CX3-40 SAN (100-561-855)	sps assy_rev	A04
emc	CX3-40 SAN (100-561-855)	sps assy_rev	A05
emc	CX3-80	agentrev	6.26.31(2.70)
emc	CX3-80	agentrev	6.26.32(0.72)
emc	CX3-80	promrev	5.15.00
emc	CX3-80	revision	3.26.80.5.031
emc	CX3-80	revision	3.26.80.5.032
emc	CX4-480	agentrev	7.30.12(0.73)
emc	CX4-480	promrev	5.30.00
emc	CX4-480	revision	04.30.000.5.522
emc	CX4-960	agentrev	7.30.12(0.73)
emc	CX4-960	promrev	7.00.00
emc	CX4-960	revision	04.30.000.5.522
emc	DD880	datadomain version	4.9.2.6-226914
emc	HH  SAN SP 4X4GB FC 8X1 GB DIMMS (100-561-092)	sps assy_rev	A09
emc	HH  SAN SP 4X4GB FC 8X1 GB DIMMS (100-561-092)	sps assy_rev	A11
emc	HH  SAN SP 4X4GB FC 8X1 GB DIMMS (100-561-092)	sps assy_rev	A14
emc	HH SANIV SP2 8X1GB DIMMS (100-562-152)	sps assy_rev	A03
emc	HH SANIV SP2 8X1GB DIMMS NEBS (100-562-152)	sps assy_rev	A02
emc	HH SANIV SP2 8X1GB DIMMS NEBS (100-562-521)	sps assy_rev	A03
emc	Hitachi HUA722010CLA330	datadomain disk firmware	JP4OA3EA
emc	Hitachi HUA722020ALA330	datadomain disk firmware	JKAOA20N
emc	Hitachi HUA722020ALA330	datadomain disk firmware	JKAOA3EA
emc	HUS151P1 CLAR146	array disk productRev	R450
emc	HUS151P1 CLAR146	array disk productRev	R4F0
emc	HUS151P1 CLAR146	array disk productRev	R600
emc	HUS15303 CLAR300	array disk productRev	C4F0
emc	HUS15603 CLAR300	array disk productRev	C3A8
emc	HUS15606 CLAR600	array disk productRev	C3A8
emc	Seagate ST31000340NS	datadomain disk firmware	XR38
emc	SS160510 CLAR100	array disk productRev	6C3Q/2161
emc	ST314635 CLAR146	array disk productRev	HC01
emc	ST314635 CLAR146	array disk productRev	HC08
emc	ST314670 CLAR146	array disk productRev	6A1A
emc	ST314670 CLAR146	array disk productRev	6A1E
emc	ST314685 CLAR146	array disk productRev	9A18
emc	ST314685 CLAR146	array disk productRev	9A1C
emc	ST314695 CLAR146	array disk productRev	E008
emc	ST330060 CLAR300	array disk productRev	RC00
emc	ST330060 CLAR300	array disk productRev	RC05
emc	ST330065 CLAR300	array disk productRev	HC08
emc	ST345080 CLAR450	array disk productRev	RC05
emc	STE30065 CLAR146	array disk productRev	EC0C
emc	STE30065 CLAR300	array disk productRev	EC0B
emc	STE30065 CLAR300	array disk productRev	EC0C
emc	STE60005 CLAR600	array disk productRev	EC0C
