"timestamp","vcserver","datacenter","vmhost","vswitch","nic"
<<<<<<< HEAD
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-4.vmware.com","vSwitch0","vmnic3"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-4.vmware.com","vSwitch0","vmnic2"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-4.vmware.com","vSwitch1","vmnic1"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-4.vmware.com","vSwitch1","vmnic0"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-1.vmware.com","vSwitch0","vmnic3"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-1.vmware.com","vSwitch0","vmnic2"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-1.vmware.com","vSwitch1","vmnic1"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg1-1.vmware.com","vSwitch1","vmnic0"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-2.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-2.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-2.vmware.com","vSwitch1","vmnic3"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-2.vmware.com","vSwitch1","vmnic2"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-8.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-8.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-8.vmware.com","vSwitch1","vmnic3"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-8.vmware.com","vSwitch1","vmnic2"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-1.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-1.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-1.vmware.com","vSwitch1","vmnic3"
"2015-03-23 01:07:46","vc-dev-1.vmware.com","Palo Alto","osdc-ph3-vmg2-1.vmware.com","vSwitch1","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-09.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-09.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-09.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-09.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-09.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-09.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-08.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-08.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-08.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-08.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-08.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-08.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-01.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-01.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-01.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-01.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-01.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-01.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-02.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-02.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-02.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-02.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-02.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-02.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-03.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-03.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-03.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-03.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-03.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-03.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-04.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-04.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-04.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-04.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-04.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-04.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-07.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-07.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-07.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-07.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-07.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-07.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-06.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-06.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-06.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-06.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-06.vmware.com","vSwitch2","vmnic3"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-06.vmware.com","vSwitch2","vmnic2"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-05.vmware.com","vSwitch0","vmnic1"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-05.vmware.com","vSwitch0","vmnic0"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-05.vmware.com","vSwitch1","vmnic5"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-05.vmware.com","vSwitch1","vmnic4"
"2015-03-23 01:07:54","vc-dev-1.vmware.com","SC9","sc9-vf-dev1-05.vmware.com","vSwitch2","vmnic3"
